recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,LCS-Puro,40,2,0.001294549879982951,0.0020408163265306124,7.57860364321006E-4,0.003705066119772359,3.19298149377515E-4,0.0028937970007451063,0.004931203435438433,0.004664774223770681
Dominance,LCS-Puro,40,5,0.004732012727614802,0.003604817400341454,0.0022017998841141685,0.00673112576167883,0.0055335957401665345,0.02412984316166915,0.011801692222857194,0.05398423178061429
Dominance,LCS-Puro,40,7,0.005706032714694077,0.0039001257410690494,0.003023290790523369,0.010479396841816827,0.019323204864776643,0.039954171372418114,0.023913846360689956,0.058131686278855885
Dominance,LCS-Puro,40,10,0.005706032714694077,0.004186394010289925,0.012538967326615849,0.017225303031421363,0.040684716518945445,0.052036704594643934,0.047342967557856865,0.07995705780930262
Dominance,LCS-Puro,40,0,0.005415380378290032,0.00404866523013227,0.005986532863333697,0.006702364890877443,0.007564364600908741,0.014416568073556964,0.010560167759008511,0.030246066000728593
Dominance,LCS-Puro,50,2,0.001766905608244191,0.0020408163265306124,7.772544917792117E-4,0.0028885121654040253,0.001887594490917607,0.00714026465297949,0.004780214457633812,0.004786306502743976
Dominance,LCS-Puro,50,5,0.0018002389415775243,0.008425267863256114,0.009606805499302224,0.0054560800581218635,0.012703656548263682,0.024733047769847423,0.018231695128221218,0.029925704788854517
Dominance,LCS-Puro,50,7,0.0044135459460851725,0.012164189872885537,0.019235419416678792,0.019042755610991426,0.0276420871378395,0.04910110684454898,0.03447230156102002,0.03934339008976377
Dominance,LCS-Puro,50,10,0.004945129677207985,0.012936982637587639,0.021875567964966494,0.035360478578781177,0.041072703702081347,0.05309684052194714,0.056130203387192955,0.06275173327824729
Dominance,LCS-Puro,50,0,0.00224997797904462,0.0063914413861437935,0.008655283623295023,0.013019094964023273,0.008112795387951685,0.02891872564885528,0.03311651562065851,0.034981646075188104
Dominance,LCS-Puro,5,2,8.378487091152245E-4,3.76034852090374E-4,3.0118402365219015E-4,0.007552592547225869,0.007233295274935184,0.00778359846225697,0.011929171201790859,0.01685058052930669
Dominance,LCS-Puro,5,5,0.0033996272580194705,0.003467769170307761,0.002803109394316647,0.02082437938043421,0.020193712200678778,0.029895453878139848,0.04309845205348298,0.03148000793019501
