recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,LCS-Puro,20,2,0.0040460628695922814,0.0,7.369614512471656E-4,1.3200274565710966E-5,0.0,0.004796224595405158
Dominance,LCS-Puro,20,5,0.0043574947968160254,0.0,0.0016187956664147141,3.2050266645546226E-5,4.451170657883023E-5,0.006052852436455116
Dominance,LCS-Puro,20,7,0.005406247631283147,0.0,0.0016187956664147141,8.798040809467815E-5,1.0314113855368162E-4,0.007216164844346221
Dominance,LCS-Puro,20,10,0.008860098307356044,3.8959015116097865E-5,0.0030217137359994503,1.98020817609669E-4,1.0314113855368162E-4,0.012221933014634943
Dominance,LCS-Puro,20,0,0.002529460059886023,0.0,8.929305746478212E-5,2.883461345859007E-4,1.3737128596695076E-4,0.0030444705379036566
Dominance,LCS-Puro,25,2,0.0040460628695922814,0.0013440860215053765,7.558578987150416E-5,1.3200274565710966E-5,0.0,0.005478934955534874
Dominance,LCS-Puro,25,5,0.00424447556800498,0.0013440860215053765,9.574200050390527E-4,2.6400549131421932E-5,1.0460251046025105E-4,0.006676984654141082
Dominance,LCS-Puro,25,7,0.005236539060068472,0.0013440860215053765,0.001037586751872466,8.233069058055386E-5,1.0460251046025105E-4,0.007805145034487119
Dominance,LCS-Puro,25,10,0.008864229893405632,0.0013440860215053765,0.0011275155010878083,0.0029728838373418204,1.0460251046025105E-4,0.014413317763800887
Dominance,LCS-Puro,25,0,0.005084325396825397,0.0014516129032258066,9.053034851427551E-4,3.26260216141928E-4,3.3412703409669794E-4,0.008101629035432585
Dominance,LCS-Puro,30,2,0.004105090311986864,0.0,8.423122335353894E-5,0.0,0.0,0.004189321535340403
Dominance,LCS-Puro,30,5,0.0043035030103995625,0.0,3.781759617427218E-4,0.0,1.0460251046025105E-4,0.004786281482602535
Dominance,LCS-Puro,30,7,0.0052955665024630545,0.0,0.001375032031062559,2.0619406985855085E-5,1.2921486586266306E-4,0.006820432806374131
Dominance,LCS-Puro,30,10,0.007574892867155273,0.0013440860215053765,0.0014351570911876191,5.985355638949601E-5,1.2921486586266306E-4,0.010543204402100428
Dominance,LCS-Puro,30,0,0.00676835813204911,1.0752688172043011E-4,6.33737637857075E-4,1.5389346862405007E-4,1.0460251046025105E-4,0.007768118630710916
Dominance,LCS-Puro,40,2,4.592569786535304E-4,0.0,3.69530528260687E-4,4.035512510088781E-4,1.0460251046025105E-4,0.0013369412683833465
